0	8	8	11	14	8	12	13
0	13	7	14	1	13	9	4
0	2	14	13	2	2	6	2
0	1	9	4	12	5	2	10
1	6	7	8	3	3	14	3
0	4	11	5	8	9	9	6
0	2	6	6	4	11	11	5
0	12	1	14	10	2	13	10
1	4	14	11	5	4	2	14
1	13	2	1	10	8	1	6
0	5	1	9	3	12	10	13
0	6	4	12	9	7	8	12
1	14	9	6	2	3	10	6
1	8	6	12	12	10	3	14
1	13	5	3	5	1	11	2
0	6	12	7	13	14	4	9
1	4	12	1	7	13	6	11
1	10	5	13	3	5	12	6
1	11	10	14	14	3	8	1
1	5	11	3	11	11	4	12
1	2	13	10	1	4	4	3
1	8	3	9	7	7	5	7
1	3	11	7	3	10	2	2
1	12	12	11	8	6	8	4
1	10	8	7	2	6	13	12
1	4	13	2	14	7	7	10
1	1	2	12	8	1	10	3
1	2	10	8	11	14	3	8
1	5	13	8	12	9	13	2
1	7	4	6	10	10	12	8
1	13	3	13	6	11	14	1
1	1	5	10	9	14	5	13
1	3	12	12	11	8	14	7
1	11	9	2	10	6	3	13
1	7	1	4	7	4	9	1
1	5	7	10	4	1	7	9
1	12	7	13	7	14	1	5
1	9	4	7	4	9	10	7
1	3	8	3	9	3	6	8
1	7	2	5	5	5	4	4
1	11	8	9	13	1	2	11
1	10	14	3	1	9	5	5
1	14	6	8	6	7	6	9
1	9	1	10	14	10	14	12
1	7	11	1	2	12	8	10
1	10	9	5	6	13	11	8
1	9	3	11	9	2	3	11
1	1	6	2	13	4	1	7
1	3	10	6	1	5	13	9
1	11	13	4	8	12	11	14
1	8	14	1	13	11	7	4
1	14	4	5	11	2	1	1
1	12	10	4	6	8	7	11
1	14	3	14	5	12	12	5
1	9	5	9	12	6	9	3
1	6	2	2	4	13	5	14
